depth,iterations,l2_leaf_reg,learning_rate,loss_function,feautures,feautures_len,N_PREDICT,index_drop,n_popular,valideted_train,cat_features,reranked_own_rec
10,1000,5,0.1,Logloss,"['user_id', 'item_id', 'manufacturer', 'age_desc', 'marital_status_code', 'income_desc', 'homeowner_desc', 'hh_comp_desc', 'household_size_desc', 'kid_category_desc', 'i_quantity_sold', 'user_total_buy', 'item_total_sold', 'user_buy_per_week', 'u_buy_item_weekly', 'top_100', 'top_500', 'user_buy_popular']",18,200,0,10000,True,"['marital_status_code', 'income_desc', 'homeowner_desc', 'hh_comp_desc', 'household_size_desc']",0.1257882882882882
10,1000,5,0.1,Logloss,"['user_id', 'item_id', 'manufacturer', 'age_desc', 'marital_status_code', 'income_desc', 'homeowner_desc', 'hh_comp_desc', 'household_size_desc', 'kid_category_desc', 'i_quantity_sold', 'user_total_buy', 'item_total_sold', 'user_buy_per_week', 'u_buy_item_weekly', 'top_100', 'top_500', 'user_buy_popular']",18,300,0,10000,True,"['marital_status_code', 'income_desc', 'homeowner_desc', 'hh_comp_desc', 'household_size_desc']",0.1209459459459459
10,1000,5,0.1,Logloss,"['user_id', 'item_id', 'manufacturer', 'age_desc', 'marital_status_code', 'income_desc', 'homeowner_desc', 'hh_comp_desc', 'household_size_desc', 'kid_category_desc', 'i_quantity_sold', 'user_total_buy', 'item_total_sold', 'user_buy_per_week', 'u_buy_item_weekly', 'top_100', 'top_500', 'user_buy_popular']",18,400,0,10000,True,"['marital_status_code', 'income_desc', 'homeowner_desc', 'hh_comp_desc', 'household_size_desc']",0.1486486486486486
10,1000,5,0.1,Logloss,"['user_id', 'item_id', 'manufacturer', 'age_desc', 'marital_status_code', 'income_desc', 'homeowner_desc', 'hh_comp_desc', 'household_size_desc', 'kid_category_desc', 'i_quantity_sold', 'user_total_buy', 'item_total_sold', 'user_buy_per_week', 'u_buy_item_weekly', 'top_100', 'top_500', 'user_buy_popular']",18,500,0,10000,True,"['marital_status_code', 'income_desc', 'homeowner_desc', 'hh_comp_desc', 'household_size_desc']",0.1370495495495495
10,1000,5,0.1,Logloss,"['user_id', 'item_id', 'manufacturer', 'age_desc', 'marital_status_code', 'income_desc', 'homeowner_desc', 'hh_comp_desc', 'household_size_desc', 'kid_category_desc', 'i_quantity_sold', 'user_total_buy', 'item_total_sold', 'user_buy_per_week', 'u_buy_item_weekly', 'top_100', 'top_500', 'user_buy_popular']",18,600,0,10000,True,"['marital_status_code', 'income_desc', 'homeowner_desc', 'hh_comp_desc', 'household_size_desc']",0.1146396396396396
10,1000,5,0.1,Logloss,"['user_id', 'item_id', 'manufacturer', 'age_desc', 'marital_status_code', 'income_desc', 'homeowner_desc', 'hh_comp_desc', 'household_size_desc', 'kid_category_desc', 'i_quantity_sold', 'user_total_buy', 'item_total_sold', 'user_buy_per_week', 'u_buy_item_weekly', 'top_100', 'top_500', 'user_buy_popular']",18,700,0,10000,True,"['marital_status_code', 'income_desc', 'homeowner_desc', 'hh_comp_desc', 'household_size_desc']",0.116554054054054
10,1000,5,0.1,Logloss,"['user_id', 'item_id', 'manufacturer', 'age_desc', 'marital_status_code', 'income_desc', 'homeowner_desc', 'hh_comp_desc', 'household_size_desc', 'kid_category_desc', 'i_quantity_sold', 'user_total_buy', 'item_total_sold', 'user_buy_per_week', 'u_buy_item_weekly', 'top_100', 'top_500', 'user_buy_popular']",18,200,0,15000,True,"['marital_status_code', 'income_desc', 'homeowner_desc', 'hh_comp_desc', 'household_size_desc']",0.125
10,1000,5,0.1,Logloss,"['user_id', 'item_id', 'manufacturer', 'age_desc', 'marital_status_code', 'income_desc', 'homeowner_desc', 'hh_comp_desc', 'household_size_desc', 'kid_category_desc', 'i_quantity_sold', 'user_total_buy', 'item_total_sold', 'user_buy_per_week', 'u_buy_item_weekly', 'top_100', 'top_500', 'user_buy_popular']",18,300,0,15000,True,"['marital_status_code', 'income_desc', 'homeowner_desc', 'hh_comp_desc', 'household_size_desc']",0.132545045045045
10,1000,5,0.1,Logloss,"['user_id', 'item_id', 'manufacturer', 'age_desc', 'marital_status_code', 'income_desc', 'homeowner_desc', 'hh_comp_desc', 'household_size_desc', 'kid_category_desc', 'i_quantity_sold', 'user_total_buy', 'item_total_sold', 'user_buy_per_week', 'u_buy_item_weekly', 'top_100', 'top_500', 'user_buy_popular']",18,400,0,15000,True,"['marital_status_code', 'income_desc', 'homeowner_desc', 'hh_comp_desc', 'household_size_desc']",0.1177927927927927
10,1000,5,0.1,Logloss,"['user_id', 'item_id', 'manufacturer', 'age_desc', 'marital_status_code', 'income_desc', 'homeowner_desc', 'hh_comp_desc', 'household_size_desc', 'kid_category_desc', 'i_quantity_sold', 'user_total_buy', 'item_total_sold', 'user_buy_per_week', 'u_buy_item_weekly', 'top_100', 'top_500', 'user_buy_popular']",18,500,0,15000,True,"['marital_status_code', 'income_desc', 'homeowner_desc', 'hh_comp_desc', 'household_size_desc']",0.1327702702702702
